RNA376	RNA377	RNA379	RNA380	RNA381	RNA382	RNA385	RNA386	RNA387	RNA390	RNA391	RNA396	RNA398	RNA401	RNA403	RNA405
Adgrb3	0	0	0	0	0.014	0	0	0	0	0.013	0	0	0	0	0	0
Gm17167	0	0	0.014	0	0	0	0	0	0	0.056	0	0	0	0	0	0
Ccl21b	0	0.838	0.438	0	0.177	0	0	0	0.408	0	0.292	0	0	0	0	0
Gm21953	0.618	0.263	0.623	0.584	0.845	0.269	0.816	0.223	0	0.461	0.228	0	0	0	0	0
Fam205a3	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0
Fam205a2	0	0	0.035	0.016	0.038	0	0	0	0	0	0	0	0	0	0	0
Gm10591	0.554	1.959	0.559	0.15	0.725	0.49	0.806	0.15	0.725	1.45	0.837	0	0	0	0.857	0
Ccl27b	0	0.169	0	0	0.168	0	0.306	0.142	0.141	0	0	0	0	0	0	0
Il11ra2	0.659	1.096	0.562	0.592	0.72	0.97	0.761	0.776	0.8	0.851	0.701	0.307	0.657	0.755	0.323	0.781
Ccl19	1.625	3.148	0.533	2.307	1.39	2.64	4.438	1.086	3.933	0.486	2.095	1.618	0	0.485	3.287	1.972
Ccl21a	1.889	3.492	0.864	1.33	1.46	2.185	1.822	1.471	3.372	1.612	1.867	1.939	0	0.752	0	1.479
Fam205a1	0	0	0.033	0.015	0.018	0	0	0.015	0	0.017	0.077	0	0	0	0	0
Fam205c	0	0	0.092	0.043	0	0	0	0	0	0.185	0.044	0	0	0	0	0
Phf24	0.042	0.081	0.083	0.02	0.035	0.14	0.022	0	0.029	0.179	0.079	0	0	0	0.072	0
Dnajb5	1.318	1.854	2.246	1.862	1.867	1.673	1.964	1.662	2.069	2.033	1.966	1.455	1.203	1.353	1.645	1.315
1700022I11Rik	0	0	0.018	0	0	0	0	0.017	0	0	0	0	0	0	0	0
Fancg	0.762	0.848	2.219	0.964	0.684	1.08	1.657	0.931	1.534	0.604	1.087	1.001	1.148	0.895	1.042	1.086
Pigo	2.92	3.033	2.766	3.07	2.554	1.828	1.706	2.678	2.962	2.815	2.896	2.85	3.326	2.772	2.848	2.613
Stoml2	4.554	4.401	4.555	4.669	4.725	5.102	4.957	4.652	4.866	4.196	4.772	4.328	4.943	4.118	4.256	5.068
Gm26643	2.461	2.588	2.243	2.842	2.877	3.077	2.456	2.661	2.951	2.097	2.761	2.485	3.206	1.634	1.933	3.015
1700001G17Rik	0	0.162	0.342	0.07	0.083	0.085	0.154	0	0.317	0.153	0.205	0.43	0	0	0.794	0
Fam214b	2.262	2.966	2.93	2.546	2.296	2.471	1.799	2.616	2.305	2.7	2.69	2.539	3.136	2.102	2.632	2.118
Gm26881	0.638	1.049	0.568	0.531	1.046	0.792	0.51	0.674	0.454	0.742	0.466	0	0.707	0	0.633	0.609
Atp8b5	0.529	1.274	0.512	1.002	1.668	4.192	0.846	0.607	1.241	0.167	0.394	0.758	0.879	0.952	0.909	0.982
Rusc2	2.871	3.337	2.541	3.208	3.183	1.789	1.531	3.519	2.76	3.055	3.201	4.111	4.232	4.003	3.14	3.31
Rab23	1.549	1.371	1.242	1.37	0.953	1.825	1.142	1.412	1.563	1.299	1.457	1.321	1.254	1.331	1.328	0.898
Fam166b	0.168	0.097	0	0.081	0.271	0	0	0.3	0	0.258	0.307	0	0	0.476	0	0.494
Tesk1	2.84	3.145	2.913	2.932	2.785	1.888	3.13	2.895	3.017	2.71	3.375	3.06	3.195	2.467	2.848	2.772
Cd72	2.552	3.777	2.812	2.743	2.848	2.28	4.934	2.633	4.14	2.744	3.614	2.725	2.636	2.332	2.685	2.931
Sit1	0.157	0.281	0.551	0.363	0	0.122	2.037	0.1	1.439	0.314	0.413	0.323	0	0	0.615	0
Rmrp	0.231	1.898	1.551	0.405	1.966	0.485	1.078	1.393	1.387	0.243	0.415	0	0	0	1.769	1.721
Ccdc107	5.425	4.988	4.709	5.148	5.092	6.2	6.087	5.306	4.577	4.94	5.015	5.41	5.447	5.564	5.025	5.093
Arhgef39	0.227	0.531	2.739	0.398	0.131	0.781	0.998	0.146	1.111	0.043	0.925	0	0.294	0.622	0.669	0.459
Gm12454	0.254	0.462	1.269	0.124	0.215	0.735	0.443	0.064	0.291	0.14	0.404	0.705	0	0.384	0.737	0
Car9	0.218	0.177	1.137	0.091	0.241	0.85	0.581	0.031	0.519	0.167	0.64	0.205	0	0.372	0.853	0
Tln1	3.976	4.647	6.106	4.231	3.461	2.741	3.147	3.623	4.799	4.015	4.451	4.129	4.253	3.856	4.41	3.522
Creb3	4.782	4.829	4.64	4.908	5.242	5.229	5.99	4.916	4.889	4.7	5.112	5.035	4.863	5.115	5.115	5.341
Gba2	2.882	2.045	2.891	2.69	1.668	2.104	1.872	2.423	2.226	1.923	2.057	2.51	3.422	2.8	2.766	2.145
Rgp1	3.714	3.331	3.174	3.669	2.341	1.945	0.891	3.322	2.971	3.323	3.491	3.891	4.245	3.978	3.142	2.953
Msmp	3.46	2.913	3.129	3.541	2.225	2.215	0.96	3.271	3.227	3.574	3.365	4.328	3.534	3.353	3.582	3.519
Gm12473	5.331	4.292	3.351	5.565	3.921	2.126	1.539	5.022	3.616	4.69	4.183	4.546	6.377	4.431	5.297	5.476
Spag8	0.314	0.048	0.086	0.295	0.048	0.275	0.176	0.227	0.226	0.046	0.336	0	0.312	0	0.276	0
Hint2	6.787	5.915	5.735	6.49	6.484	7.627	7.166	6.866	6.064	6.727	5.921	6.946	6.632	6.811	6.804	6.708
Fam221b	0	0	0.066	0	0	0	0	0.061	0.031	0	0	0	0	0.196	0	0
Tmem8b	0.823	0.471	0.527	0.893	0.387	0.522	0.151	0.844	0.389	0.498	0.623	0.46	0.449	0.847	1.374	1.044
Bag2	1.084	0.764	1.005	1.328	2.37	1.002	1.58	1.19	1.257	1.572	2.646	0	0	0	1.447	0.866
Hrct1	0.091	0.905	0.577	0.125	0.556	0.457	0.5	0.043	0.538	0.185	0.458	0.711	0.331	0	0.535	0.28
5430416O09Rik	0.065	0.346	0.189	0.031	0.191	0.145	0.135	0.046	0.202	0.134	0.301	0	0	0.102	0	0.106
A630077J23Rik	0	0	0	0	0	0	0.076	0	0	0	0	0	0	0	0	0
Gm37905	0.186	0.389	0.64	0.826	1.658	0.965	0.913	0.175	0.925	0.663	1.445	0	0	0	0	0
Olfr155	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0
